Categoria,Total,Detalhes
Total_Eventos_Aprovados,969,Eventos com status APROVADO
Total_Eventos_Pendentes,1189,Eventos com status PENDENTE
Total_Eventos_Geral,2158,Total de eventos analisados
Eventos_Aprovados_Aba_SUPER,2,Eventos aprovados na aba super
Eventos_Pendentes_Aba_SUPER,1189,Eventos pendentes na aba super
Eventos_Aprovados_Aba_VIDAS,258,Eventos aprovados na aba vidas
Eventos_Pendentes_Aba_VIDAS,0,Eventos pendentes na aba vidas
Eventos_Aprovados_Aba_BRINCANDO,152,Eventos aprovados na aba brincando
Eventos_Pendentes_Aba_BRINCANDO,0,Eventos pendentes na aba brincando
Eventos_Aprovados_Aba_ACERTA,482,Eventos aprovados na aba acerta
Eventos_Pendentes_Aba_ACERTA,0,Eventos pendentes na aba acerta
Eventos_Aprovados_Aba_OUTROS,75,Eventos aprovados na aba outros
Eventos_Pendentes_Aba_OUTROS,0,Eventos pendentes na aba outros
