Nome,UF,Ativo
Amigos do Bem,CE,Sim
Antônio Gonçalves - BA,BA,Sim
Araguari - MG,MG,Sim
Araranguá - SC,SC,Sim
Atibaia - SP,SP,Sim
Balneário Rincão - SC,SC,Sim
Balsa Nova - PR,PR,Sim
Barreira - CE,CE,Sim
Bocaiúva do Sul - PR,PR,Sim
Brejo do Cruz - PB,PB,Sim
Cabedelo - PB,PB,Sim
Campo Alegre - AL,AL,Sim
Campo Largo - PR,PR,Sim
Canarana - BA,BA,Sim
Canavieiras - BA,BA,Sim
Capivari - SP,SP,Sim
Carandaí - MG,MG,Sim
Catolé do Rocha - PB,PB,Sim
Centenário do Sul - PR,PR,Sim
Chorozinho - CE,CE,Sim
Cianorte - PR,PR,Sim
Craíbas - AL,AL,Sim
Criciúma - SC,SC,Sim
Curvelo - MG,MG,Sim
Dias d'Avila - BA,BA,Sim
Ereré - CE,CE,Sim
Filadélfia - BA,BA,Sim
Florestal - MG,MG,Sim
Fortim - CE,CE,Sim
Holambra - SP,SP,Sim
Ibaretama - CE,CE,Sim
Indaial - SC,SC,Sim
Indianopolis - MG,MG,Sim
Indianópolis - MG,MG,Sim
Iracema - CE,CE,Sim
Itagi - BA,BA,Sim
Itaparica - BA,BA,Sim
Itapipoca - CE,CE,Sim
Itaquiraí - MS,MS,Sim
Lagoa Grande - PE,PE,Sim
Macuco - RJ,RJ,Sim
Mandaguari - PR,PR,Sim
Maracanaú - CE,CE,Sim
Maranguape - CE,CE,Sim
Matias Cardoso - MG,MG,Sim
Mirabela - MG,MG,Sim
Mucambo - CE,CE,Sim
Murici - AL,AL,Sim
Pacujá - CE,CE,Sim
Pereiro - CE,CE,Sim
Petrolina - PE,PE,Sim
Piên - PR,PR,Sim
Poço de José de Moura - PB,PB,Sim
Pomerode - SC,SC,Sim
Ponta Grossa - PR,PR,Sim
Rio Paranaíba - MG,MG,Sim
Rondonópolis - MT,MT,Sim
Russas - CE,CE,Sim
Santana do Ipanema - AL,AL,Sim
Santa Quitéria - CE,CE,Sim
Santo Inácio - PR,PR,Sim
São Desidério - BA,BA,Sim
São Fidélis - RJ,RJ,Sim
São João da Ponte - MG,MG,Sim
São João do Rio do Peixe - PB,PB,Sim
São José do Calçado - ES,ES,Sim
São Mateus do Sul - PR,PR,Sim
São Sebastião da Amoreira - PR,PR,Sim
Serra do Salitre - MG,MG,Sim
Sobral - CE,CE,Sim
Tarrafas - CE,CE,Sim
Teotônio Vilela - AL,AL,Sim
Tupã - SP,SP,Sim
Uiraúna - PB,PB,Sim
