Secao_Menu,Link,Permissao_Necessaria,Grupo_que_Ve,Grupo_que_Nao_Ve,Evidencia,Status,Ajuste_Proposto
Principal - Inicio,/core:home,Logado,Todos,Nenhum,core/templates/core/base.html:149,OK,
Principal - Mapa Mensal,/disponibilidade/,Logado,Todos,Nenhum,core/templates/core/base.html:152,OK,
Coordenacao - Solicitar Evento,/solicitar/,perms.core.add_solicitacao,coordenador|admin,formador|controle|super|diretoria,core/templates/core/base.html:158-167,OK,
Coordenacao - Meus Eventos,/coordenador/meus-eventos/,perms.core.add_solicitacao,coordenador|admin,formador|controle|super|diretoria,core/templates/core/base.html:164,OK,
Formador - Meus Eventos,/formador/eventos/,perms.core.add_disponibilidadeformadores,formador|admin,coordenador|controle|super|diretoria,core/templates/core/base.html:170-179,OK,
Formador - Bloqueio de Agenda,/bloqueios/novo/,perms.core.add_disponibilidadeformadores,formador|admin,coordenador|controle|super|diretoria,core/templates/core/base.html:176,OK,
Superintendencia - Aprovacoes Pendentes,/aprovacoes/pendentes/,perms.core.view_aprovacao,superintendencia|admin,coordenador|formador|controle|diretoria,core/templates/core/base.html:183-192,OK,
Superintendencia - Deslocamentos,/admin/core/deslocamento/,perms.core.view_aprovacao,superintendencia|admin,coordenador|formador|controle|diretoria,core/templates/core/base.html:189,OK,
Controle - Monitor Google Calendar,/controle/google-calendar/,perms.core.sync_calendar,controle|admin,coordenador|formador|super|diretoria,core/templates/core/base.html:195-216,OK,
Controle - Logs de Auditoria,/controle/auditoria/,perms.core.sync_calendar,controle|admin,coordenador|formador|super|diretoria,core/templates/core/base.html:201,OK,
Controle - Status do Sistema,/controle/api/status/,perms.core.sync_calendar,controle|admin,coordenador|formador|super|diretoria,core/templates/core/base.html:204,OK,
Controle - Formacoes,/planilhas/formacoes/,perms.planilhas.view_formacao,controle|admin,coordenador|formador|super|diretoria,core/templates/core/base.html:207-210,OK,
Controle - Importar Compras,/planilhas/importacao/compras/,perms.planilhas.add_compra,controle|admin,coordenador|formador|super|diretoria,core/templates/core/base.html:211-214,OK,
Diretoria - Dashboard Executivo,/diretoria/dashboard/,perms.core.view_relatorios,diretoria|admin,coordenador|formador|controle|super,core/templates/core/base.html:218-234,OK,
Diretoria - Relatorios Consolidados,/diretoria/relatorios/,perms.core.view_relatorios,diretoria|admin,coordenador|formador|controle|super,core/templates/core/base.html:224,OK,
Diretoria - Visao Mensal,/disponibilidade/,perms.core.view_relatorios,diretoria|admin,coordenador|formador|controle|super,core/templates/core/base.html:227,OK,
Diretoria - Metricas API,/diretoria/api/metrics/,perms.core.view_relatorios,diretoria|admin,coordenador|formador|controle|super,core/templates/core/base.html:230,OK,
Cadastros - Formadores,/admin/core/formador/,perms.core.view_aprovacao|user.is_superuser,superintendencia|admin,coordenador|formador|controle|diretoria,core/templates/core/base.html:237-252,OK,
Cadastros - Municipios,/admin/core/municipio/,perms.core.view_aprovacao|user.is_superuser,superintendencia|admin,coordenador|formador|controle|diretoria,core/templates/core/base.html:243,GAP,Deveria usar perms.core.view_municipio para controle
Cadastros - Projetos,/admin/core/projeto/,perms.core.view_aprovacao|user.is_superuser,superintendencia|admin,coordenador|formador|controle|diretoria,core/templates/core/base.html:246,OK,
Cadastros - Tipos de Evento,/admin/core/tipoevento/,perms.core.view_aprovacao|user.is_superuser,superintendencia|admin,coordenador|formador|controle|diretoria,core/templates/core/base.html:249,OK,
Sistema - Administracao,/admin/,user.is_superuser,superuser,todos-os-grupos,core/templates/core/base.html:256-262,OK,
