nome,uf,ativo
Teste Performance 001,SP,True
Teste Performance 002,RJ,True
Teste Performance 003,MG,True
Teste Performance 004,BA,True
Teste Performance 005,PR,True
Teste Performance 006,SC,True
Teste Performance 007,RS,True
Teste Performance 008,GO,True
Teste Performance 009,MT,True
Teste Performance 010,MS,True
Teste Performance 011,DF,True
Teste Performance 012,ES,True
Teste Performance 013,RN,True
Teste Performance 014,PB,True
Teste Performance 015,PE,True
Teste Performance 016,AL,True
Teste Performance 017,SE,True
Teste Performance 018,CE,True
Teste Performance 019,PI,True
Teste Performance 020,MA,True
