Categoria,Total,Detalhes
Total_Registros_Planilhas,2158,Total de registros em todas as abas
Registros_Aba_SUPER,1191,Registros na aba super
Registros_Aba_VIDAS,258,Registros na aba vidas
Registros_Aba_BRINCANDO,152,Registros na aba brincando
Registros_Aba_ACERTA,482,Registros na aba acerta
Registros_Aba_OUTROS,75,Registros na aba outros
Formadores_Unicos_Planilhas,88,Formadores únicos identificados
Coordenadores_Unicos_Planilhas,36,Coordenadores únicos identificados
Projetos_Unicos_Planilhas,24,Projetos únicos identificados
Municipios_Unicos_Planilhas,74,Municípios únicos identificados
Tipos_Evento_Unicos_Planilhas,20,Tipos de evento únicos identificados
Formadores_Aba_SUPER,36,Formadores únicos na aba super
Projetos_Aba_SUPER,8,Projetos únicos na aba super
Municipios_Aba_SUPER,52,Municípios únicos na aba super
Formadores_Aba_VIDAS,23,Formadores únicos na aba vidas
Projetos_Aba_VIDAS,5,Projetos únicos na aba vidas
Municipios_Aba_VIDAS,27,Municípios únicos na aba vidas
Formadores_Aba_BRINCANDO,12,Formadores únicos na aba brincando
Projetos_Aba_BRINCANDO,1,Projetos únicos na aba brincando
Municipios_Aba_BRINCANDO,22,Municípios únicos na aba brincando
Formadores_Aba_ACERTA,13,Formadores únicos na aba acerta
Projetos_Aba_ACERTA,3,Projetos únicos na aba acerta
Municipios_Aba_ACERTA,41,Municípios únicos na aba acerta
Formadores_Aba_OUTROS,6,Formadores únicos na aba outros
Projetos_Aba_OUTROS,7,Projetos únicos na aba outros
Municipios_Aba_OUTROS,12,Municípios únicos na aba outros
