Projeto,Setor,Setor_Superintendencia,Ativo,Codigo_Produto,Tipo_Produto,Descricao
ACerta,Sem Setor,Sim,Sim,SEM_COD,FORMACAO,Projeto importado da aba ACerta: ACerta
A COR DA GENTE,Sem Setor,Sim,Sim,SEM_COD,FORMACAO,Projeto importado da aba Outros: A COR DA GENTE
Avançando Juntos Língua Portuguesa,Sem Setor,Sim,Sim,SEM_COD,FORMACAO,Projeto importado da aba Vidas: Avançando Juntos Língua Portuguesa
Avançando Juntos Matemática,Sem Setor,Sim,Sim,SEM_COD,FORMACAO,Projeto importado da aba Vidas: Avançando Juntos Matemática
Brincando e Aprendendo,Sem Setor,Sim,Sim,SEM_COD,FORMACAO,Projeto importado da aba Brincando: Brincando e Aprendendo
Cataventos,Sem Setor,Sim,Sim,SEM_COD,FORMACAO,Projeto importado da aba Super: Cataventos
Cirandar,Sem Setor,Sim,Sim,SEM_COD,FORMACAO,Projeto importado da aba Super: Cirandar
ED FINANCEIRA,Sem Setor,Sim,Sim,SEM_COD,FORMACAO,Projeto importado da aba Outros: ED FINANCEIRA
Escrever Comunicar e Ser,Sem Setor,Sim,Sim,SEM_COD,FORMACAO,Projeto importado da aba ACerta: Escrever Comunicar e Ser
IDEB10,Sem Setor,Sim,Sim,SEM_COD,FORMACAO,Projeto importado da aba Outros: IDEB10
IDEB10 - ESQUENTA SAEB,Sem Setor,Sim,Sim,SEM_COD,FORMACAO,Projeto importado da aba Outros: IDEB10 - ESQUENTA SAEB
LEIO ESCREVO E CALCULO,Sem Setor,Sim,Sim,SEM_COD,FORMACAO,Projeto importado da aba Outros: LEIO ESCREVO E CALCULO
Lendo e Escrevendo,Sem Setor,Sim,Sim,SEM_COD,FORMACAO,Projeto importado da aba Super: Lendo e Escrevendo
"LER, OUVIR E CONTAR",Sem Setor,Sim,Sim,SEM_COD,FORMACAO,"Projeto importado da aba Outros: LER, OUVIR E CONTAR"
Miudezas,Sem Setor,Sim,Sim,SEM_COD,FORMACAO,Projeto importado da aba Super: Miudezas
Novo Lendo,Sem Setor,Sim,Sim,SEM_COD,FORMACAO,Projeto importado da aba Super: Novo Lendo
Projeto AMMA,Sem Setor,Sim,Sim,SEM_COD,FORMACAO,Projeto importado da aba Super: Projeto AMMA
SOU DA PAZ,Sem Setor,Sim,Sim,SEM_COD,FORMACAO,Projeto importado da aba Outros: SOU DA PAZ
Superativar,Sem Setor,Sim,Sim,SEM_COD,FORMACAO,Projeto importado da aba ACerta: Superativar
Tema,Sem Setor,Sim,Sim,SEM_COD,FORMACAO,Projeto importado da aba Super: Tema
UNI DUNI TÊ,Sem Setor,Sim,Sim,SEM_COD,FORMACAO,Projeto importado da aba Super: UNI DUNI TÊ
Vida & Ciências,Sem Setor,Sim,Sim,SEM_COD,FORMACAO,Projeto importado da aba Vidas: Vida & Ciências
Vida & Linguagem,Sem Setor,Sim,Sim,SEM_COD,FORMACAO,Projeto importado da aba Vidas: Vida & Linguagem
Vida & Matemática,Sem Setor,Sim,Sim,SEM_COD,FORMACAO,Projeto importado da aba Vidas: Vida & Matemática
