nome,descricao,ativo,vinculado_superintendencia
Projeto Formacao Docente,Capacitacao e desenvolvimento de professores da rede publica,True,True
Projeto Tecnologia Educacional,Integracao de tecnologias digitais no processo de ensino-aprendizagem,True,False
Projeto Gestao Escolar,Formacao de diretores e coordenadores pedagogicos,True,True
Projeto Educacao Inclusiva,Capacitacao para atendimento de estudantes com necessidades especiais,True,False
Projeto Alfabetizacao,Metodologias inovadoras para alfabetizacao infantil,True,False
Projeto Matematica Aplicada,Ensino contextualizado de matematica para o ensino medio,True,False
Projeto Ciencias Experimentais,Laboratorios moveis para experimentos cientificos,True,False
Projeto Lingua Portuguesa,Desenvolvimento de competencias linguisticas e textuais,True,False
Projeto Arte e Cultura,Valorizacao das manifestacoes culturais regionais,True,False
Projeto Educacao Ambiental,Sustentabilidade e consciencia ecologica nas escolas,True,True
Projeto Esporte Educacional,Integracao do esporte como ferramenta pedagogica,True,False
Projeto Educacao de Jovens e Adultos,Metodologias especificas para EJA,True,False
Projeto Avaliacao Educacional,Sistemas de avaliacao e monitoramento da aprendizagem,True,True
Projeto Educacao Rural,Adequacao curricular para escolas do campo,True,False
Projeto Inovacao Pedagogica,Pesquisa e desenvolvimento de novas praticas educativas,True,True
Projeto Piloto Experimental,Projeto temporario para testes diversos,False,False
